card_number,card_name,image_url,alt_text
049,Gengar,https://pokemonproxies.com/assets/3a-049-Gengar-CTMqtl8g.png,/assets/3a-049-Gengar-CTMqtl8g.png
050,Skorupi,https://pokemonproxies.com/assets/3a-050-Skorupi-DtBRCpKs.png,/assets/3a-050-Skorupi-DtBRCpKs.png
051,Drapion,https://pokemonproxies.com/assets/3a-051-Drapion-CKy4LqBf.png,/assets/3a-051-Drapion-CKy4LqBf.png
052,Yveltal ex-Dqxl,https://pokemonproxies.com/assets/3a-052-Yveltal_ex-Dqxl-E7M.png,/assets/3a-052-Yveltal_ex-Dqxl-E7M.png
053,Chien Pao,https://pokemonproxies.com/assets/3a-053-Chien_Pao-CxIuM6Ja.png,/assets/3a-053-Chien_Pao-CxIuM6Ja.png
054,Mega Skarmory ex,https://pokemonproxies.com/assets/3a-054-Mega_Skarmory_ex-Br7ft8Sd.png,/assets/3a-054-Mega_Skarmory_ex-Br7ft8Sd.png
055,Honedge,https://pokemonproxies.com/assets/3a-055-Honedge-zkHz9XBM.png,/assets/3a-055-Honedge-zkHz9XBM.png
056,Doublade,https://pokemonproxies.com/assets/3a-056-Doublade-BrLBaM6Q.png,/assets/3a-056-Doublade-BrLBaM6Q.png
057,Aegislash,https://pokemonproxies.com/assets/3a-057-Aegislash-Cj5NWahJ.png,/assets/3a-057-Aegislash-Cj5NWahJ.png
058,Klefki,https://pokemonproxies.com/assets/3a-058-Klefki-B_nc2gxt.png,/assets/3a-058-Klefki-B_nc2gxt.png
059,Rattata,https://pokemonproxies.com/assets/3a-059-Rattata-CsTGQurV.png,/assets/3a-059-Rattata-CsTGQurV.png
060,Raticate,https://pokemonproxies.com/assets/3a-060-Raticate-CTFzPq6D.png,/assets/3a-060-Raticate-CTFzPq6D.png
061,Meowth ex,https://pokemonproxies.com/assets/3a-061-Meowth_ex-C3O7NKR6.png,/assets/3a-061-Meowth_ex-C3O7NKR6.png
062,Snorlax,https://pokemonproxies.com/assets/3a-062-Snorlax-DT40Sx70.png,/assets/3a-062-Snorlax-DT40Sx70.png
063,Bunnelby,https://pokemonproxies.com/assets/3a-063-Bunnelby-B4iBZ_NZ.png,/assets/3a-063-Bunnelby-B4iBZ_NZ.png
064,Diggersby,https://pokemonproxies.com/assets/3a-064-Diggersby-ByA1SQAY.png,/assets/3a-064-Diggersby-ByA1SQAY.png
065,Fletchling- 7u,https://pokemonproxies.com/assets/3a-065-Fletchling-_7u-zOVJ.png,/assets/3a-065-Fletchling-_7u-zOVJ.png
066,Furfrou,https://pokemonproxies.com/assets/3a-066-Furfrou-9jHGzj1z.png,/assets/3a-066-Furfrou-9jHGzj1z.png
067,Energy Swatter-s,https://pokemonproxies.com/assets/3a-067-Energy_Swatter-s-UZkjR1.png,/assets/3a-067-Energy_Swatter-s-UZkjR1.png
068,Antique Jaw Fossil,https://pokemonproxies.com/assets/3a-068-Antique_Jaw_Fossil-CkJnrICf.png,/assets/3a-068-Antique_Jaw_Fossil-CkJnrICf.png
069,Antique Sail Fossil,https://pokemonproxies.com/assets/3a-069-Antique_Sail_Fossil-BGTNk6lf.png,/assets/3a-069-Antique_Sail_Fossil-BGTNk6lf.png
070,PokePad,https://pokemonproxies.com/assets/3a-070-PokePad-CfsuZA0m.png,/assets/3a-070-PokePad-CfsuZA0m.png
071,Lumiose Galette,https://pokemonproxies.com/assets/3a-071-Lumiose_Galette-D4jDt8jt.png,/assets/3a-071-Lumiose_Galette-D4jDt8jt.png
072,Core Memory,https://pokemonproxies.com/assets/3a-072-Core_Memory-COksupTy.png,/assets/3a-072-Core_Memory-COksupTy.png
073,Tarragon,https://pokemonproxies.com/assets/3a-073-Tarragon-BvAwSLlp.png,/assets/3a-073-Tarragon-BvAwSLlp.png
074,Naveen,https://pokemonproxies.com/assets/3a-074-Naveen-E60edPmd.png,/assets/3a-074-Naveen-E60edPmd.png
075,Rosa''s Encouragement,https://pokemonproxies.com/assets/3a-075-Rosa's_Encouragement-CXfUiMgS.png,/assets/3a-075-Rosa's_Encouragement-CXfUiMgS.png
076,Jacinthe,https://pokemonproxies.com/assets/3a-076-Jacinthe-CpifrieY.png,/assets/3a-076-Jacinthe-CpifrieY.png
077,Lumiose City,https://pokemonproxies.com/assets/3a-077-Lumiose_City-53aHjB1E.png,/assets/3a-077-Lumiose_City-53aHjB1E.png
078,Grow Gras's Energy,https://pokemonproxies.com/assets/3a-078-Grow_Grass_Energy-5XtuBDl5.png,/assets/3a-078-Grow_Grass_Energy-5XtuBDl5.png
079,Telepath Psychic Energy,https://pokemonproxies.com/assets/3a-079-Telepath_Psychic_Energy-0qPMzmNI.png,/assets/3a-079-Telepath_Psychic_Energy-0qPMzmNI.png
080,Rock Fighting Energy,https://pokemonproxies.com/assets/3a-080-Rock_Fighting_Energy-B0Mqojsf.png,/assets/3a-080-Rock_Fighting_Energy-B0Mqojsf.png
