idProduct,id_category,expansion_code,id_expansion,number,name_en,name_de,image_url,stamped_image_url
697064,51,PPS1,5204,,Kricketune V [Exciting Stage | X-Scissor],,https://product-images.s3.cardmarket.com/51/PPS1/697064/697064.jpg,
697065,51,PPS1,5204,,Cherrim [Spring Bloom | Seed Bomb],,https://product-images.s3.cardmarket.com/51/PPS1/697065/697065.jpg,
697066,51,PPS1,5204,,Leafeon V [Greening Cells | Leaf Blade],,https://product-images.s3.cardmarket.com/51/PPS1/697066/697066.jpg,
697067,51,PPS1,5204,,Leafeon VMAX [Grass Knot | Max Leaf],,https://product-images.s3.cardmarket.com/51/PPS1/697067/697067.jpg,
697068,51,PPS1,5204,,Decidueye [Deep Forest Camo | Splitting Arrow],,https://product-images.s3.cardmarket.com/51/PPS1/697068/697068.jpg,
697069,51,PPS1,5204,,Eldegoss [Cotton Lift | Cotton Guard],,https://product-images.s3.cardmarket.com/51/PPS1/697069/697069.jpg,
697070,51,PPS1,5204,,Eldegoss V [Happy Match | Float Up],,https://product-images.s3.cardmarket.com/51/PPS1/697070/697070.jpg,
697071,51,PPS1,5204,,Charizard [Battle Sense | Royal Blaze],,https://product-images.s3.cardmarket.com/51/PPS1/697071/697071.jpg,
697072,51,PPS1,5204,,Charizard V [Claw Slash | Fire Spin],,https://product-images.s3.cardmarket.com/51/PPS1/697072/697072.jpg,
697073,51,PPS1,5204,,Charizard VMAX [Claw Slash | G-Max Wildfire],,https://product-images.s3.cardmarket.com/51/PPS1/697073/697073.jpg,
697074,51,PPS1,5204,,Flareon V [Flaming Breath | Scorching Column],,https://product-images.s3.cardmarket.com/51/PPS1/697074/697074.jpg,
697075,51,PPS1,5204,,Flareon VMAX [Max Detonate],,https://product-images.s3.cardmarket.com/51/PPS1/697075/697075.jpg,
697076,51,PPS1,5204,,Blaziken V [High Jump Kick | Fire Spin],,https://product-images.s3.cardmarket.com/51/PPS1/697076/697076.jpg,
697077,51,PPS1,5204,,Blaziken VMAX [Clutch | Max Blaze],,https://product-images.s3.cardmarket.com/51/PPS1/697077/697077.jpg,
697078,51,PPS1,5204,,Victini V [Spreading Flames | Energy Burst],,https://product-images.s3.cardmarket.com/51/PPS1/697078/697078.jpg,
697079,51,PPS1,5204,,Victini VMAX [Spreading Flames | Max Victory],,https://product-images.s3.cardmarket.com/51/PPS1/697079/697079.jpg,
697080,51,PPS1,5204,,Cinderace [Libero | Flare Striker],,https://product-images.s3.cardmarket.com/51/PPS1/697080/697080.jpg,
697081,51,PPS1,5204,,Vaporeon V [Triple Draw | Splash Jump],,https://product-images.s3.cardmarket.com/51/PPS1/697081/697081.jpg,
697082,51,PPS1,5204,,Vaporeon VMAX [Bubble Pod | Max Torrent],,https://product-images.s3.cardmarket.com/51/PPS1/697082/697082.jpg,
697083,51,PPS1,5204,,Octillery [Rapid Strike Search | Waterfall],,https://product-images.s3.cardmarket.com/51/PPS1/697083/697083.jpg,
697084,51,PPS1,5204,,Suicune V [Fleet-Footed | Blizzard Rondo],,https://product-images.s3.cardmarket.com/51/PPS1/697084/697084.jpg,
697085,51,PPS1,5204,,Empoleon V [Emperor's Eyes | Swirling Slice],,https://product-images.s3.cardmarket.com/51/PPS1/697085/697085.jpg,
697086,51,PPS1,5204,,Glaceon V [Frozen Awakening | Heavy Snow],,https://product-images.s3.cardmarket.com/51/PPS1/697086/697086.jpg,
697087,51,PPS1,5204,,Glaceon VMAX [Crystal Veil | Max Icicle],,https://product-images.s3.cardmarket.com/51/PPS1/697087/697087.jpg,
697088,51,PPS1,5204,,Froslass [Frost Over | Crystal Breath],,https://product-images.s3.cardmarket.com/51/PPS1/697088/697088.jpg,
697089,51,PPS1,5204,,Drizzile [Shady Dealings | Water Drip],,https://product-images.s3.cardmarket.com/51/PPS1/697089/697089.jpg,
697090,51,PPS1,5204,,Inteleon [Shady Dealings | Aqua Bullet],,https://product-images.s3.cardmarket.com/51/PPS1/697090/697090.jpg,
697091,51,PPS1,5204,,Inteleon [Quick Shooting | Waterfall],,https://product-images.s3.cardmarket.com/51/PPS1/697091/697091.jpg,
697092,51,PPS1,5204,,Galarian Mr. Rime [Shuffle Dance | Mad Party],,https://product-images.s3.cardmarket.com/51/PPS1/697092/697092.jpg,
697093,51,PPS1,5204,,Frosmoth [Ice Dance | Aurora Beam],,https://product-images.s3.cardmarket.com/51/PPS1/697093/697093.jpg,
697094,51,PPS1,5204,,Ice Rider Calyrex V [Pierce | Glacial Lance],,https://product-images.s3.cardmarket.com/51/PPS1/697094/697094.jpg,
697095,51,PPS1,5204,,Ice Rider Calyrex VMAX [Ride of the High King | Max Lance],,https://product-images.s3.cardmarket.com/51/PPS1/697095/697095.jpg,
697096,51,PPS1,5204,,Pikachu VMAX [G-Max Volt Tackle],,https://product-images.s3.cardmarket.com/51/PPS1/697096/697096.jpg,
697097,51,PPS1,5204,,Jolteon V [Thunder Spear | Pin Missile],,https://product-images.s3.cardmarket.com/51/PPS1/697097/697097.jpg,
697098,51,PPS1,5204,,Jolteon VMAX [Max Thunder Rumble],,https://product-images.s3.cardmarket.com/51/PPS1/697098/697098.jpg,
697099,51,PPS1,5204,,Flaaffy [Dynamotor | Electro Ball],,https://product-images.s3.cardmarket.com/51/PPS1/697099/697099.jpg,
697100,51,PPS1,5204,,Zeraora V [Cross Fist],,https://product-images.s3.cardmarket.com/51/PPS1/697100/697100.jpg,
697101,51,PPS1,5204,,Regieleki [Static Shock | Teraspark],,https://product-images.s3.cardmarket.com/51/PPS1/697101/697101.jpg,
697102,51,PPS1,5204,,Galarian Rapidash V [Libra Horn | Psychic],,https://product-images.s3.cardmarket.com/51/PPS1/697102/697102.jpg,
697103,51,PPS1,5204,,Galarian Articuno [Cruel Charge | Psylaser],,https://product-images.s3.cardmarket.com/51/PPS1/697103/697103.jpg,
